Unnamed: 0.1,Unnamed: 0,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
425,480,Hp,Victus 15-Fb0106Ax Gaming Laptop,64990,67.0,5Th Gen Amd Ryzen 5 5600H,"Hexa Core, 12 Threads",16Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050,15.6,1920,1080,Windows 11 Os,1
426,481,Lenovo,Ideapad Slim 1 82Vg009Min Laptop,32990,69.32352941,Amd Ryzen 3 7320U,"Quad Core, 8 Threads",8Gb,Lpddr5,512Gb,Ssd,Amd Radeon Graphics,15.6,1920,1080,Windows 11 Os,1
427,483,Samsung,Galaxy Book 3 Pro 360 Np960Qfg-Ka3In Laptop,179490,81.0,13Th Gen Intel Core I7 1360P,"12 Cores (4P + 8E), 16 Threads",16Gb,Ddr5,1Tb,Ssd,Intel Iris Xe Graphics,16.0,2880,1800,Windows 11 Os,1
428,487,Infinix,Zero Book Series Zl12 Laptop,56990,60.0,12Th Gen Intel Core I5 12500H,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Integrated Iris Xe,15.6,1920,1080,Windows Os,1
429,488,Hp,Victus 16-D0310Tx Gaming Laptop,56990,71.0,11Th Gen Intel Core I5 11400H,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Gtx 1650,16.1,1920,1080,Windows 11 Os,1
430,489,Asus,Vivobook 15 X1500Ea-Ej3381Ws Laptop,34990,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
431,491,Hp,Pavilion Plus 14-Eh0037Tu Laptop,83249,70.0,12Th Gen Intel Core I5 12500H,"12 Cores (4P + 8E), 16 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Integrated Iris Xe,14.0,2880,1800,Windows 11 Os,1
432,495,Dell,Vostro 3420 Laptop,57990,60.0,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Uhd Graphics,14.0,1920,1080,Windows 11 Os,1
433,496,Hp,Envy X360 13-Bf0121Tu  Laptop,85490,71.0,12Th Gen Intel Core I5 1230U,"10 Cores, 12 Threads",16Gb,Lpddr4X,512Gb,Ssd,Intel Integrated Iris Xe,13.4,1920,1200,Windows 11 Os,1
434,497,Dell,Vostro 3520 Laptop,55890,69.32352941,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
435,498,Asus,Vivobook 15 X1502Za-Ej381Ws Laptop,40689,69.32352941,12Th Gen Intel Core I3 1220P,"10 Cores (2P + 8E), 12 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
436,499,Acer,Aspire 5 A515-57 2022 Laptop,48990,65.0,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphic,15.6,1920,1080,Windows 11 Os,1
437,500,Hp,Pavilion 14-Dv2014Tu Laptop,66648,64.0,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd Graphics,14.0,1920,1080,Windows 11 Os,1
